Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.8,1.6,Justin GATLIN,10FEB1982,USA,03JUL2016
2,9.81,0.2,Usain BOLT,21AUG1986,JAM,14AUG2016
3,9.84,1.6,Trayvon BROMELL,10JUL1995,USA,03JUL2016
4,9.86,1.8,Jimmy VICAUT,27FEB1992,FRA,07JUN2016
5,9.89,1.9,Akani SIMBINE,21SEP1993,RSA,18JUL2016
6,9.91,0.6,Femi OGUNODE,15MAY1991,QAT,22APR2016
6,9.91,0.2,Andre DEGRASSE,10NOV1994,CAN,14AUG2016
8,9.92,0.9,Jak AliHARVEY,04MAY1989,TUR,12JUN2016
8,9.92,1.9,Asafa POWELL,23NOV1982,JAM,18JUL2016
10,9.93,1.9,Kim COLLINS,05APR1976,SKN,29MAY2016
10,9.93,0.2,Yohan BLAKE,26DEC1989,JAM,14AUG2016
12,9.94,1.0,Ameer WEBB,19MAR1991,USA,02JUN2016
12,9.94,1.0,Nickel ASHMEADE,07APR1990,JAM,11JUN2016
12,9.94,1.8,Marvin BRACY,15DEC1993,USA,11JUN2016
15,9.95,1.7,Christian COLEMAN,06MAR1996,USA,03JUL2016
16,9.96,1.6,Senoj JayGIVANS,30DEC1993,JAM,08JUN2016
16,9.96,2.0,Aaron BROWN,27MAY1992,CAN,11JUN2016
16,9.96,2.0,Joel FEARON,11OCT1988,GBR,30JUL2016
16,9.96,0.2,Ben YoussefMEIT,11NOV1986,CIV,14AUG2016
20,9.97,-0.1,Michael RODGERS,24APR1985,USA,18MAY2016
20,9.97,2.0,Tyson GAY,09AUG1982,USA,11JUN2016
20,9.97,1.7,Richard THOMPSON,07JUN1985,TTO,25JUN2016
23,9.98,1.5,Wayde VANNIEKERK,15JUL1992,RSA,12MAR2016
24,9.99,2.0,Omar MCLEOD,25APR1994,JAM,23APR2016
24,9.99,1.7,Rondel SORRILLO,21JAN1986,TTO,25JUN2016
26,10.0,1.0,Kemar BAILEYCOLE,10JAN1992,JAM,11JUN2016
26,10.0,1.9,John TEETERS,19MAY1993,USA,02JUL2016
28,10.01,1.1,Wilfried KOFFIHUA,12OCT1987,CIV,09APR2016
28,10.01,0.0,Cejhae GREENE,06OCT1995,ANT,30APR2016
28,10.01,1.8,Yoshihide KIRYU,15DEC1995,JPN,11JUN2016
28,10.01,1.9,Richard KILTY,02SEP1989,GBR,16JUL2016
28,10.01,1.8,Julian REUS,29APR1988,GER,29JUL2016
28,10.01,0.2,Chijindu UJAH,05MAR1994,GBR,14AUG2016
28,10.01,-0.1,Churandy MARTINA,03JUL1984,NED,27AUG2016
35,10.02,1.8,Clayton VAUGHN,15MAY1992,USA,11JUN2016
35,10.02,0.7,Jevaughn MINZIE,20JUL1995,JAM,01JUL2016
37,10.03,0.6,Isiah YOUNG,05JAN1990,USA,22APR2016
37,10.03,0.9,Kemarley BROWN,20JUL1992,BRN,07MAY2016
37,10.03,2.0,Walter DIX,31JAN1986,USA,27MAY2016
37,10.03,1.0,Ramon GITTENS,20JUL1987,BAR,11JUN2016
37,10.03,1.6,Jason LIVERMORE,25APR1988,JAM,11JUN2016
